ticker,name,forecast_date,pred_day,pred_close,last_close,upside_pct
AAPL,Apple Inc,2026-04-22,1,265.2322,266.17,-0.35
AAPL,Apple Inc,2026-04-23,2,265.1533,266.17,-0.38
AAPL,Apple Inc,2026-04-24,3,264.6566,266.17,-0.57
AAPL,Apple Inc,2026-04-27,4,266.6281,266.17,0.17
AAPL,Apple Inc,2026-04-28,5,265.6107,266.17,-0.21
AAPL,Apple Inc,2026-04-29,6,266.1882,266.17,0.01
AAPL,Apple Inc,2026-04-30,7,267.184,266.17,0.38
AAPL,Apple Inc,2026-05-01,8,266.5263,266.17,0.13
AAPL,Apple Inc,2026-05-04,9,268.072,266.17,0.71
AAPL,Apple Inc,2026-05-05,10,268.6088,266.17,0.92
AAPL,Apple Inc,2026-05-06,11,268.8206,266.17,1.0
AAPL,Apple Inc,2026-05-07,12,269.7792,266.17,1.36
AAPL,Apple Inc,2026-05-08,13,269.3971,266.17,1.21
AAPL,Apple Inc,2026-05-11,14,270.7009,266.17,1.7
AAPL,Apple Inc,2026-05-12,15,270.7973,266.17,1.74
AAPL,Apple Inc,2026-05-13,16,271.5003,266.17,2.0
AAPL,Apple Inc,2026-05-14,17,271.8804,266.17,2.15
AAPL,Apple Inc,2026-05-15,18,271.8401,266.17,2.13
AAPL,Apple Inc,2026-05-18,19,273.9413,266.17,2.92
AAPL,Apple Inc,2026-05-19,20,274.735,266.17,3.22
AAPL,Apple Inc,2026-05-20,21,274.3628,266.17,3.08
AMZN,Amazon.com Inc,2026-04-22,1,249.5,249.91,-0.16
AMZN,Amazon.com Inc,2026-04-23,2,247.7599,249.91,-0.86
AMZN,Amazon.com Inc,2026-04-24,3,245.8252,249.91,-1.63
AMZN,Amazon.com Inc,2026-04-27,4,243.7994,249.91,-2.45
AMZN,Amazon.com Inc,2026-04-28,5,240.9273,249.91,-3.59
AMZN,Amazon.com Inc,2026-04-29,6,239.9466,249.91,-3.99
AMZN,Amazon.com Inc,2026-04-30,7,237.9213,249.91,-4.8
AMZN,Amazon.com Inc,2026-05-01,8,236.3547,249.91,-5.42
AMZN,Amazon.com Inc,2026-05-04,9,237.3458,249.91,-5.03
AMZN,Amazon.com Inc,2026-05-05,10,234.4967,249.91,-6.17
AMZN,Amazon.com Inc,2026-05-06,11,233.5636,249.91,-6.54
AMZN,Amazon.com Inc,2026-05-07,12,232.4119,249.91,-7.0
AMZN,Amazon.com Inc,2026-05-08,13,231.9429,249.91,-7.19
AMZN,Amazon.com Inc,2026-05-11,14,231.0422,249.91,-7.55
AMZN,Amazon.com Inc,2026-05-12,15,230.6116,249.91,-7.72
AMZN,Amazon.com Inc,2026-05-13,16,230.2719,249.91,-7.86
AMZN,Amazon.com Inc,2026-05-14,17,229.7254,249.91,-8.08
AMZN,Amazon.com Inc,2026-05-15,18,229.7999,249.91,-8.05
AMZN,Amazon.com Inc,2026-05-18,19,229.7696,249.91,-8.06
AMZN,Amazon.com Inc,2026-05-19,20,229.3831,249.91,-8.21
AMZN,Amazon.com Inc,2026-05-20,21,229.7362,249.91,-8.07
AVGO,Broadcom Inc,2026-04-22,1,403.2213,402.17,0.26
AVGO,Broadcom Inc,2026-04-23,2,399.6058,402.17,-0.64
AVGO,Broadcom Inc,2026-04-24,3,397.8863,402.17,-1.07
AVGO,Broadcom Inc,2026-04-27,4,397.2814,402.17,-1.22
AVGO,Broadcom Inc,2026-04-28,5,391.9639,402.17,-2.54
AVGO,Broadcom Inc,2026-04-29,6,387.0354,402.17,-3.76
AVGO,Broadcom Inc,2026-04-30,7,386.9468,402.17,-3.79
AVGO,Broadcom Inc,2026-05-01,8,379.0808,402.17,-5.74
AVGO,Broadcom Inc,2026-05-04,9,376.0217,402.17,-6.5
AVGO,Broadcom Inc,2026-05-05,10,372.1534,402.17,-7.46
AVGO,Broadcom Inc,2026-05-06,11,366.5347,402.17,-8.86
AVGO,Broadcom Inc,2026-05-07,12,359.8379,402.17,-10.53
AVGO,Broadcom Inc,2026-05-08,13,358.4499,402.17,-10.87
AVGO,Broadcom Inc,2026-05-11,14,357.3298,402.17,-11.15
AVGO,Broadcom Inc,2026-05-12,15,354.0424,402.17,-11.97
AVGO,Broadcom Inc,2026-05-13,16,350.2765,402.17,-12.9
AVGO,Broadcom Inc,2026-05-14,17,344.7833,402.17,-14.27
AVGO,Broadcom Inc,2026-05-15,18,343.9541,402.17,-14.48
AVGO,Broadcom Inc,2026-05-18,19,343.2832,402.17,-14.64
AVGO,Broadcom Inc,2026-05-19,20,341.049,402.17,-15.2
AVGO,Broadcom Inc,2026-05-20,21,338.3505,402.17,-15.87
FXI,iShares China Large-Cap ETF,2026-04-22,1,37.3087,37.11,0.54
FXI,iShares China Large-Cap ETF,2026-04-23,2,37.5951,37.11,1.31
FXI,iShares China Large-Cap ETF,2026-04-24,3,37.5641,37.11,1.22
FXI,iShares China Large-Cap ETF,2026-04-27,4,37.7249,37.11,1.66
FXI,iShares China Large-Cap ETF,2026-04-28,5,37.8376,37.11,1.96
FXI,iShares China Large-Cap ETF,2026-04-29,6,38.0017,37.11,2.4
FXI,iShares China Large-Cap ETF,2026-04-30,7,38.0967,37.11,2.66
