ticker,name,last_close,rating,murphy_score,trend_score,osc_score,adx,plus_di,minus_di,rsi,stoch_k,stoch_d,williams_r,roc,macd,sma50,sma200,atr,sig_ma_cross,sig_ma_align,sig_adx_di,sig_macd,sig_obv,sig_donchian,sig_rsi,sig_stoch,sig_williams,sig_roc
AMAT,Applied Materials,674.2001,STRONG BUY,6,6,0,32.91,33.93,12.85,68.55,92.72,85.7,-0.38,35.65,53.1605,473.6504,331.5566,38.659,1,1,1,1,1,1,0,0,-1,1
C,Citigroup Inc,142.84,STRONG BUY,6,5,1,40.11,26.58,14.54,62.91,70.55,74.57,-31.92,7.09,4.3193,131.4003,114.3185,3.4788,1,1,1,1,1,0,0,0,0,1
JPM,JPMorgan Chase,331.56,STRONG BUY,6,5,1,28.29,29.2,17.31,62.12,66.62,74.77,-34.39,7.25,7.4581,311.543,306.3442,7.3542,1,1,1,1,1,0,0,0,0,1
UNH,UnitedHealth Group,420.25,STRONG BUY,6,5,1,44.38,30.1,8.22,65.01,88.49,85.94,-26.18,3.73,11.0253,383.277,333.5251,9.9433,1,1,1,1,1,0,0,0,0,1
BB,BlackBerry Ltd,11.78,STRONG BUY,5,6,-1,46.76,35.47,10.14,76.24,93.29,67.1,-4.02,33.56,0.8112,7.5592,4.8859,0.827,1,1,1,1,1,1,-1,0,-1,1
LLY,Eli Lilly & Co,1222.0,STRONG BUY,5,6,-1,32.99,36.06,11.35,73.88,74.92,56.0,-10.71,7.54,34.3401,1037.0143,976.9349,36.956,1,1,1,1,1,1,-1,0,-1,1
CAT,Caterpillar Inc,1006.515,STRONG BUY,5,5,0,29.05,31.16,15.53,59.54,81.84,84.29,-24.99,17.56,36.024,900.0201,687.2598,38.1609,1,1,1,1,1,0,0,-1,0,1
CVS,CVS Health,103.7,STRONG BUY,5,5,0,42.86,37.44,12.76,68.7,85.73,88.78,-23.95,5.79,3.4222,91.7269,80.7157,2.4325,1,1,1,1,1,0,0,-1,0,1
EA,Electronic Arts,205.035,STRONG BUY,5,5,0,27.44,29.88,10.43,67.79,85.88,85.07,-16.84,0.9,0.7581,202.2116,200.1609,0.9704,1,1,1,1,1,0,0,0,-1,1
LRCX,Lam Research,396.44,STRONG BUY,5,5,0,27.42,30.01,15.01,61.27,83.44,78.33,-12.8,23.28,24.0344,312.878,218.3842,24.0154,1,1,1,1,1,0,0,0,-1,1
PSO,Pearson PLC,15.71,STRONG BUY,5,5,0,14.18,34.01,20.85,64.67,77.2,55.26,-7.07,2.41,0.1104,15.0144,13.7144,0.2758,1,1,0,1,1,1,0,0,-1,1
ABEV,Ambev SA,3.22,STRONG BUY,5,4,1,9.26,26.8,22.04,55.12,51.52,43.1,-45.45,3.54,0.0084,3.1394,2.7484,0.0751,1,1,0,1,1,0,0,0,0,1
XLI,Industrial Select Sector ETF,182.44,STRONG BUY,5,4,1,15.7,27.69,16.54,59.94,78.95,78.68,-21.94,7.53,2.4415,174.5996,163.5442,3.2913,1,1,0,1,1,0,0,0,0,1
AAL,American Airlines,17.8936,STRONG BUY,4,5,-1,37.53,42.93,10.44,78.03,94.48,93.99,-3.3,33.34,1.1454,13.7205,13.2676,0.6844,1,1,1,1,1,0,-1,0,-1,1
CAH,Cardinal Health,239.8601,STRONG BUY,4,5,-1,35.94,37.88,11.49,79.11,94.2,93.67,-2.75,10.89,9.3277,205.9648,199.2261,5.4624,1,1,1,1,1,0,-1,0,-1,1
ETSY,Etsy Inc,79.465,STRONG BUY,4,5,-1,46.26,33.17,6.2,76.39,88.84,87.7,-4.47,15.62,3.7792,66.4365,60.2146,2.6972,1,1,1,1,1,0,-1,0,-1,1
JNJ,Johnson & Johnson,256.065,STRONG BUY,4,5,-1,21.96,39.25,14.19,73.24,93.63,90.1,-1.64,7.37,5.057,230.4104,216.6252,5.4094,1,1,0,1,1,1,-1,0,-1,1
