ticker,name,last_close,dollar_vol_20d,rsi,sma200,wma20,ema9,ema21,macd,macd_signal,below_sma200,below_wma20,cross_up,cross_down,rsi_buy,rsi_sell,p_tbv,tbvps,fcf,debt_to_equity,current_ratio,tbv_yoy,q_ptbv,q_fcf,q_dte,q_cr,q_tbv_growth,value_hit,confluence
WB,Weibo Corp,7.21,11571076.0,23.46,9.897,8.606,7.3984,7.6232,-0.2445,-0.2252,True,True,False,False,True,False,0.4844,14.8855,,0.4743,3.021,0.1384,True,False,True,True,True,False,3
AGRO,Adecoagro SA,9.3,10454328.0,28.26,9.924,11.8535,9.7932,10.7796,-0.9808,-0.8082,True,True,False,False,True,False,0.9025,10.3044,-72121248.0,1.1627,1.736,0.0522,True,False,False,True,True,False,3
SHEL,Shell PLC,77.33,560012200.0,27.03,78.9138,85.5875,80.1336,82.4522,-2.109,-1.385,True,True,False,False,True,False,1.4827,52.1533,15633999872.0,0.4332,1.275,-0.0332,False,True,True,True,False,False,3
JD,JD.com Inc,25.19,228466322.0,24.53,29.3756,28.2854,26.8393,28.0323,-1.0876,-0.7476,True,True,False,False,True,False,1.5822,15.9213,7005875200.0,0.3848,1.18,-0.0879,False,True,True,True,False,False,3
STLA,Stellantis NV,5.74,124660990.0,26.11,8.9643,7.327,6.2748,6.7396,-0.4335,-0.3099,True,True,False,False,True,False,1.5974,3.5934,-5823000064.0,0.7866,1.035,-0.6829,False,False,True,True,False,False,3
TCOM,Trip.com Group,40.49,161740328.0,27.39,61.4818,50.3525,45.2127,46.6784,-1.4744,-1.1697,True,True,False,False,True,False,1.8614,21.7522,2189499904.0,0.1832,1.549,0.3905,False,True,True,True,True,False,3
PKX,POSCO Holdings,52.17,30421891.0,24.98,59.8634,66.1575,57.7159,62.5461,-4.693,-3.7481,True,True,False,False,True,False,1.8703,27.8944,-1966300200960.0,0.4997,1.898,-0.0063,False,False,True,True,False,False,3
BABA,Alibaba Group,95.07,1394971072.0,16.81,148.2326,128.8204,105.0622,113.0409,-7.7955,-6.1292,True,True,False,False,True,False,1.9043,49.9228,-44074250240.0,0.2501,1.282,0.0902,False,False,True,True,True,False,3
DOW,Dow Inc,29.31,417229757.0,23.93,29.4241,35.3648,31.1805,32.8916,-1.6858,-1.3325,True,True,False,False,True,False,3.3889,8.6489,-675875008.0,1.1713,1.848,-0.0743,False,False,False,True,False,False,3
SID,Cia Siderurgica Nacional,0.9567,6570799.0,28.74,1.5121,1.3068,1.0672,1.153,-0.0787,-0.0534,True,True,False,False,True,False,3.5319,0.2709,-2192784384.0,3.2393,1.11,0.02,False,False,False,True,True,False,3
SE,Sea Ltd,89.01,318168182.0,50.43,121.051,89.945,89.5642,88.8624,0.5112,0.0949,True,True,True,False,False,False,4.2752,20.8203,885241600.0,0.2761,1.578,0.5065,False,True,True,True,True,False,3
GLOB,Globant SA,27.73,62593746.0,23.61,53.514,42.41,31.6701,34.8846,-2.996,-2.0612,True,True,False,False,True,False,8.0643,3.4386,267834880.0,0.2112,1.818,0.4261,False,True,True,True,True,False,3
BP,BP PLC,37.72,356399775.0,27.36,38.5586,42.7023,39.663,41.2341,-1.46,-1.0224,True,True,False,False,True,False,10.6739,3.5339,10053125120.0,0.9638,1.219,-0.1169,False,True,True,True,False,False,3
MSFT,Microsoft Corp,352.83,17291692174.0,28.74,447.6517,399.0787,376.1206,392.3819,-14.1347,-8.6772,True,True,False,False,True,False,10.7901,32.6995,37011251200.0,0.3027,1.283,0.6552,False,True,True,True,True,False,3
ACN,Accenture PLC,125.82,1473913948.0,23.52,222.0684,184.6606,140.3741,155.5289,-13.651,-8.7824,True,True,False,False,True,False,12.0522,10.4395,12089380864.0,0.2504,1.339,0.4652,False,True,True,True,True,False,3
PLTR,Palantir Technologies,107.27,5988455326.0,27.37,159.0936,139.0115,121.1214,128.7652,-6.644,-3.8466,True,True,False,False,True,False,30.4312,3.525,1752997120.0,0.0248,6.907,0.4765,False,True,True,True,True,False,3
LVS,Las Vegas Sands,46.28,215646610.0,29.81,56.3979,52.7525,48.2341,49.4302,-1.1624,-0.8649,True,True,False,False,True,False,40.0416,1.1558,1622625024.0,9.814,0.921,-0.5652,False,True,False,False,False,False,3
ADBE,Adobe Inc,193.41,1931568106.0,28.36,292.2083,242.9215,202.9236,218.2669,-14.6391,-11.2139,True,True,False,False,True,False,,,9218374656.0,0.6144,0.751,-4.2318,False,True,True,False,False,False,3
BIDU,Baidu Inc,103.99,278701789.0,27.77,127.9049,122.778,111.3268,117.811,-6.1176,-4.6519,True,True,False,False,True,False,,,,,,,False,False,False,False,False,False,3
BIOX,Bioceres Crop Solutions,0.3251,129378.0,28.9,1.0275,0.478,0.3749,0.4053,-0.0294,-0.0216,True,True,False,False,True,False,,,,2.5105,0.876,-2.1634,False,False,False,False,False,False,3
BAK,Braskem SA,2.67,10104006.0,24.96,3.4139,3.8428,3.1122,3.4857,-0.3435,-0.2445,True,True,False,False,True,False,,,-6892624896.0,,0.71,,False,False,False,False,False,False,3
BNG,Bunge Global SA,0.095,24.0,4.76,189.0882,222.8897,216.2895,239.475,-13.4248,4.8281,True,True,False,False,True,False,,,,,,,False,False,False,False,False,False,3
XLC,Communication Services Select Sector ETF,105.58,789913345.0,25.26,114.8836,113.8967,108.3972,110.735,-2.2099,-1.6294,True,True,False,False,True,False,,,,,,,False,False,False,False,False,False,3
DTEGY,Deutsche Telekom AG,29.85,20668375.0,29.87,33.074,34.3563,30.7518,31.6572,-0.8343,-0.5646,True,True,False,False,True,False,,,18050500608.0,1.6187,1.18,,False,True,False,True,False,False,3
FXI,iShares China Large-Cap ETF,31.68,989128874.0,23.43,37.9314,35.8228,33.2036,34.1296,-0.8748,-0.6274,True,True,False,False,True,False,,,,,,,False,False,False,False,False,False,3
NFLX,Netflix Inc,70.9,3608965735.0,19.05,97.3012,88.7385,75.1925,79.3078,-4.1126,-3.3085,True,True,False,False,True,False,,,25993676800.0,0.5379,1.407,,False,True,True,True,False,False,3
PFE,Pfizer Inc,23.67,1133164424.0,25.08,25.5465,26.4278,24.8757,25.364,-0.4138,-0.2045,True,True,False,True,True,False,,,12376625152.0,0.716,1.247,,False,True,True,True,False,False,3
NSANY,Nissan Motor Co,3.75,996947.0,31.71,4.7807,4.6175,4.0418,4.2489,-0.1835,-0.1147,True,True,False,False,False,False,0.2327,16.2449,-1249823555584.0,1.7018,1.56,-0.1818,True,False,False,True,False,False,2
TV,Grupo Televisa,2.72,2882940.0,43.53,2.8796,2.9335,2.7945,2.8035,-0.0092,-0.0036,True,True,False,True,False,False,0.4523,6.0139,2405078272.0,0.8488,2.387,-0.1393,True,True,True,True,False,False,2
KEP,Korea Electric Power,12.46,15909691.0,43.54,16.012,15.3845,12.5612,12.824,-0.343,-0.3778,True,True,False,False,False,False,0.4956,25.1409,5256119844864.0,2.5555,0.429,0.211,True,True,False,False,True,False,2
HMC,Honda Motor Co,26.14,56524813.0,49.59,28.7063,26.25,26.1729,26.2505,0.046,0.222,True,True,False,False,False,False,0.4968,52.616,-1265908449280.0,1.1357,1.281,-0.015,True,False,False,True,False,False,2
BSBR,Banco Santander Brasil,5.16,9545051.0,37.92,5.9304,5.8255,5.2572,5.3411,-0.0984,-0.0968,True,True,False,False,False,False,0.5365,9.6174,,,,0.0609,True,False,False,False,True,False,2
MBGAF,Mercedes-Benz Group AG,50.88,1642779.0,31.25,63.7871,60.1855,52.6479,54.7464,-2.0074,-1.494,True,True,False,False,False,False,0.5734,88.0604,-4120750080.0,1.0452,1.389,-0.0065,True,False,False,True,False,False,2
ERIC,Ericsson LM,11.06,128703294.0,36.66,10.4381,11.6933,11.544,11.9614,-0.3408,-0.1815,False,True,False,False,False,False,0.7402,14.9425,29486125056.0,0.381,1.121,1.0716,True,True,True,True,True,True,2
GT,Goodyear Tire & Rubber,6.44,53397082.0,57.06,7.6482,6.8665,6.1835,6.1326,0.0079,-0.0475,True,True,False,False,False,False,0.7879,8.1736,145750000.0,2.5306,1.04,-0.1897,True,True,False,True,False,False,2
LND,BrasilAgro,3.51,190945.0,31.48,3.8376,3.916,3.584,3.6649,-0.0807,-0.0637,True,True,False,False,False,False,0.8717,4.0265,-162346256.0,0.7074,1.474,-0.0091,True,False,True,True,False,False,2
SPCE,Virgin Galactic Holdings,2.5,366108689.0,40.19,3.2731,3.0195,3.265,3.6156,-0.1922,0.0772,True,True,False,False,False,False,0.9098,2.748,-313179616.0,1.6481,1.003,-0.1499,True,False,False,True,False,False,2
